7zip 26.01-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accounts-qml-module 0.7-8
accountsservice 26.13.3-1
acl 2.3.2-2
acpi 1.8-2
acpid 2.0.34-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
akonadi 26.04.1-1
akonadi-calendar 26.04.1-1
akonadi-contacts 26.04.1-1
akonadi-import-wizard 26.04.1-1
akonadi-mime 26.04.1-1
akonadi-search 26.04.1-1
alpm-octopi-utils 1.0.2-12
alsa-card-profiles 1:1.6.5-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
android-tools 35.0.2-25
android-udev 20260423-1
aom 3.14.1-1
apache 2.4.67-1
apparmor 4.1.7-1
appmenu-gtk-module 25.04-3
appstream 1.1.2-1
appstream-qt 1.1.2-1
apr 1.7.6-1
apr-util 1.6.3-2
archlinux-appstream-data 20260421-1
archlinux-keyring 20260420-1
aria2 1.37.0-3
arj 3.10.22-14
ark 26.04.1-1
aspell 0.60.8.2-2
at-spi2-core 2.60.4-1
atkmm 2.28.4-2
attica 6.26.0-1
attr 2.5.2-2
audacious 4.5.1-1
audacious-plugins 4.5.1-2
audit 4.1.4-2
aurorae 6.6.5-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
aws-c-auth 0.10.1-1
aws-c-cal 0.9.13-1
aws-c-common 0.12.6-1
aws-c-compression 0.3.2-1
aws-c-event-stream 0.7.0-1
aws-c-http 0.10.14-1
aws-c-io 0.26.3-1
aws-c-mqtt 0.15.2-1
aws-c-s3 0.12.2-1
aws-c-sdkutils 0.2.4-1
aws-checksums 0.2.10-1
aws-crt-cpp 0.38.5-1
ayatana-ido 0.10.4-1
b43-fwcutter 019-6
babl 0.1.126-1
baloo 6.26.0-1
baloo-widgets 26.04.1-1
base 3-3
base-devel 1-3
bash 5.3.9-1
bat 0.26.1-2
bc 1.08.2-1
bind 9.20.23-1
binutils 2.46+r70+g155188ea10a7-1
binwalk 3.1.0-1
bison 3.8.2-8
blas 3.12.1-2
blosc 1.21.6-2
bluedevil 1:6.6.5-1
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-obex 5.86-6
bluez-qt 6.26.0-1
bluez-tools 0.2.0-6
bluez-utils 5.86-6
bolt 0.9.11-1
boost-libs 1.91.0-1
botan 3.12.0-1
breeze 6.6.5-1
