7zip 26.01-1
acpi 1.8-2
acpid 2.0.34-2
alsa-firmware 1.2.4-4
alsa-utils 1.2.15.2-2
android-tools 35.0.2-25
android-udev 20260423-1
apparmor 4.1.7-1
ark 26.04.1-1
audacious 4.5.1-1
avahi 1:0.9rc4-1
b43-fwcutter 019-6
base-devel 1-3
bash 5.3.9-1
bat 0.26.1-2
bind 9.20.23-1
binwalk 3.1.0-1
bluedevil 1:6.6.5-1
blueman 2.4.6-2
bluez-utils 5.86-6
breeze-gtk 6.6.5-1
btrfs-progs 7.0-1
bzip2 1.0.8-6
cdparanoia 10.2-9
cloudflared 2026.5.1-1
cmake 4.3.3-1
coreutils 9.11-1
cpupower 7.0.9-1
cronie 1.7.2-2
cryptsetup 2.8.6-1
d-spy 50.0-1
darkman 2.3.1-1
device-mapper 2.03.41-1
dhclient 4.4.3.P1-4
dhcpcd 10.3.2-1
difftastic 0.69.0-1
diffutils 3.12-2
discover 6.6.5-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92.rel2-2
docker 1:29.5.1-1
docker-compose 5.1.4-1
dolphin 26.04.1-1
dolphin-plugins 26.04.1-1
dosfstools 4.2-5
dvd+rw-tools 7.1-13
e2fsprogs 1.47.4-1
ecryptfs-utils 111-9
efibootmgr 18-4
emovix 0.9.0-9
eog 50.1-1
evince 1:48.4-1
f2fs-tools 1.16.0-3
fd 10.4.2-2
ffmpeg 2:8.1.1-2
ffmpegthumbs 26.04.1-1
file 5.47-3
filelight 26.04.1-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 151.0.2-1
firefox-developer-edition 152.0b3-1
firefox-developer-edition-i18n-en-us 152.0b3-1
firefox-developer-edition-i18n-uk 152.0b3-1
firefox-i18n-en-us 151.0.2-1
firefox-i18n-uk 151.0.2-1
fluidsynth 2.5.4-1
fnm-bin 1.39.0-1
fwupd 2.1.3-1
fzf 0.72.0-1
gawk 5.4.0-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gdal 3.13.0-1
gdm 50.0-2
gettext 1.0-2
ghostty 1.3.1-2
git-delta 0.19.2-1
github-cli 2.92.0-2
glibc 2.43+r22+g8362e8ce10b2-2
gnome-backgrounds 50.0-1
gnome-browser-connector 42.1-8
gnome-calculator 50.0-1
gnome-calendar 50.0-2
gnome-characters 50.0-1
gnome-clocks 50.0-2
gnome-color-manager 3.36.2-1
gnome-console 50.0-1
gnome-contacts 50.0-1
gnome-control-center 50.1-1
gnome-disk-utility 46.1-2
gnome-font-viewer 50.0-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-maps 50.1-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-photos 1:44.0-7
gnome-remote-desktop 50.1-1
gnome-session 50.0-1
gnome-settings-daemon 50.1-1
gnome-shell 1:50.1-2
gnome-shell-extensions 50.1-1
gnome-software 50.2-1
gnome-system-monitor 50.0-1
gnome-terminal 3.60.0-1
gnome-text-editor 50.1-1
gnome-themes-extra 1:3.28-1
gnome-tweaks 49.0-2
gnome-user-docs 50.2-1
gnome-user-share 48.3-1
gnome-weather 50.0-1
go 2:1.26.3-1
gparted 1.8.1-1
grep 3.12-2
grilo-plugins 1:0.3.18-3
grub 2:2.14-1
grub-theme-manjaro 20.2-16
gst-libav 1.28.3-1
gst-plugins-bad 1.28.3-1
gst-plugins-base 1.28.3-1
gst-plugins-good 1.28.3-1
gst-plugins-ugly 1.28.3-1
gtk3 1:3.24.52-1
gvfs 1.60.0-2
gvfs-afc 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-smb 1.60.0-2
gwenview 26.04.1-1
gzip 1.14-2
htop 3.5.1-1
hyphen-en 2.8.9-1
illyria-wallpaper 1.4-1
inetutils 2.8-1
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
inxi 3.3.40.1-1
iproute2 7.0.0-1
iputils 20250605-1
jetbrains-toolbox 3.5.0.84344-1
jfsutils 1.1.15-9
jq 1.8.1-3
kaccounts-providers 26.04.1-1
kamera 26.04.1-1
kde-gtk-config 6.6.5-1
kdeconnect 26.04.1-1
kdegraphics-thumbnailers 26.04.1-1
kdenetwork-filesharing 26.04.1-1
kdeplasma-addons 6.6.5-1
kdiff3 1.12.4-1
keditbookmarks 26.04.1-1
kernel-alive 0.5.1-1
kfind 26.04.1-1
kget 26.04.1-1
khelpcenter 26.04.1-1
kinfocenter 6.6.5-1
kio-extras 26.04.1-1
kmenuedit 6.6.5-1
konsole 26.04.1-1
konversation 26.04.1-1
krusader 2.9.0-1
kscreen 6.6.5-1
kscreenlocker 6.6.5-1
ksshaskpass 6.6.5-1
ksystemlog 26.04.1-1
kwallet-pam 6.6.5-1
kwalletmanager 26.04.1-1
kwayland-integration 6.6.5-1
kwin 6.6.5-2
kwrited 6.6.5-1
less 1:692-1
lib32-libcanberra 1:0.30+r2+gc0620e4-4
lib32-libva-intel-driver 2.4.1-2
lib32-mesa-demos 9.0.0-4
lib32-nvidia-utils 595.71.05-1
libcanberra 1:0.30+r2+gc0620e4-6
libdvdcss 1.5.0-1
libfido2 1.17.0-1
libktorrent 26.04.1-1
libopenmpt 0.8.7-1
libva-intel-driver 2.4.1-7
libva-utils 2.22.0-1
libwebsockets 4.5.8-1
libxnvctrl 595.71.05-1
licenses 20240728-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-2
linux612 6.12.91-1
linux612-nvidia 595.71.05-9
linux66 6.6.141-1
linux66-nvidia 595.71.05-7
llvm 22.1.5-1
logiops 0.3.5-1
logrotate 3.22.0-1
lvm2 2.03.41-1
malcontent 0.14.0-4
man-db 2.13.1-1
man-pages 6.18-1
manjaro-alsa 20221002-1
manjaro-application-utility 1.4.1-4
manjaro-browser-settings 20231111-1
manjaro-hello 0.8.1-5
manjaro-kde-settings 20260210-2
manjaro-pipewire 20231009-1
manjaro-printer 20240827-1
manjaro-release 26.1.0pre-1
manjaro-settings-manager-knotifier 0.5.8-8
manjaro-system 20250814-1
manjaro-wallpapers-18.0 1.4-4
mdadm 4.6-2
memtest86+ 7.20-2
mesa-demos 9.0.0-7
mhwd 0.6.6-6
mhwd-db 20260305-1
micro 2.0.15-2
milou 6.6.5-1
mkinitcpio-openswap 0.1.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
mpd 0.24.12-1
mpv 1:0.41.0-3
mtpfs 1.1-5
nano 9.0-1
neofetch 7.1.0-2
networkmanager 1.56.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-7
