acpi 1.8-2
acpid 2.0.34-2
android-tools 35.0.2-25
ark 26.04.1-1
audacious 4.5.1-1
b43-fwcutter 019-6
bat 0.26.1-2
binwalk 3.1.0-1
blueman 2.4.6-2
cloudflared 2026.5.1-1
cmake 4.3.3-1
cpupower 7.0.9-1
d-spy 50.0-1
darkman 2.3.1-1
dhclient 4.4.3.P1-4
difftastic 0.69.0-1
dmraid 1.0.0.rc16.3-15
docker 1:29.5.1-1
docker-compose 5.1.4-1
dvd+rw-tools 7.1-13
ecryptfs-utils 111-9
emovix 0.9.0-9
eog 50.1-1
fd 10.4.2-2
firefox-developer-edition-i18n-en-us 152.0b3-1
firefox-developer-edition-i18n-uk 152.0b3-1
firefox-i18n-en-us 151.0.2-1
firefox-i18n-uk 151.0.2-1
fzf 0.72.0-1
gdal 3.13.0-1
gdm 50.0-2
ghostty 1.3.1-2
git-delta 0.19.2-1
github-cli 2.92.0-2
gnome-backgrounds 50.0-1
gnome-browser-connector 42.1-8
gnome-calculator 50.0-1
gnome-calendar 50.0-2
gnome-characters 50.0-1
gnome-clocks 50.0-2
gnome-console 50.0-1
gnome-contacts 50.0-1
gnome-font-viewer 50.0-1
gnome-logs 50.0-1
gnome-maps 50.1-1
gnome-music 1:49.1-2
gnome-photos 1:44.0-7
gnome-shell-extensions 50.1-1
gnome-software 50.2-1
gnome-system-monitor 50.0-1
gnome-terminal 3.60.0-1
gnome-text-editor 50.1-1
gnome-themes-extra 1:3.28-1
gnome-tweaks 49.0-2
gnome-user-docs 50.2-1
gnome-weather 50.0-1
go 2:1.26.3-1
gparted 1.8.1-1
grub-theme-manjaro 20.2-16
gwenview 26.04.1-1
htop 3.5.1-1
hyphen-en 2.8.9-1
inetutils 2.8-1
intel-ucode 20260512-1
jq 1.8.1-3
kaccounts-providers 26.04.1-1
kde-gtk-config 6.6.5-1
kfind 26.04.1-1
kget 26.04.1-1
khelpcenter 26.04.1-1
konversation 26.04.1-1
krusader 2.9.0-1
ksystemlog 26.04.1-1
kwallet-pam 6.6.5-1
kwrited 6.6.5-1
lib32-libcanberra 1:0.30+r2+gc0620e4-4
lib32-mesa-demos 9.0.0-4
libva-utils 2.22.0-1
libwebsockets 4.5.8-1
libxnvctrl 595.71.05-1
linux612-nvidia 595.71.05-9
linux66-nvidia 595.71.05-7
man-pages 6.18-1
manjaro-alsa 20221002-1
manjaro-browser-settings 20231111-1
manjaro-hello 0.8.1-5
manjaro-kde-settings 20260210-2
manjaro-pipewire 20231009-1
manjaro-printer 20240827-1
manjaro-system 20250814-1
manjaro-wallpapers-18.0 1.4-4
memtest86+ 7.20-2
micro 2.0.15-2
mkinitcpio-openswap 0.1.1-1
mpd 0.24.12-1
mpv 1:0.41.0-3
mtpfs 1.1-5
nano 9.0-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-7
networkmanager-vpnc 1.4.0-2
nfs-utils 2.9.1-1
nginx 1.30.2-1
nix 2.34.7-1
ntp 4.2.8.p18-6
numlockx 1.2-6
obs-studio 32.1.2-3
octopi 0.19.0-2
okular 26.04.1-1
onefetch 2.27.1-1
orca 50.1.2-1
pamac-tray-icon-plasma 0.1.3-3
partitionmanager 26.04.1-1
plasma-browser-integration 6.6.5-1
plasma-systemmonitor 6.6.5-1
playerctl 2.4.1-5
powertop 2.15-2
pyenv 1:2.6.31-1
python-pyaudio 0.2.14-5
python-pysmbc 1.0.25.1-5
qmmp 2.3.2-1
qt5-imageformats 5.15.19+kde+r2-1
qt5-virtualkeyboard 5.15.19-1
rhythmbox 3.4.9-1
rpi-imager 2.0.9-1
rustup 1.29.0-2
sddm-kcm 6.6.5-1
spectacle 1:6.6.5-1
starship 1.25.1-1
stow 2.4.1-1
sushi 50.0-1
sysfsutils 2.1.1-2
tailscale 1.98.2-1
terminus-font 4.49.1-8
topgrade 17.5.1-1
ttf-inconsolata 1:3.000-5
ttf-indic-otf 0.2-12
udiskie 2.6.2-1
vcdimager 2.0.1-7
vivaldi 8.0.4033.35-1
xf86-input-elographics 1.4.4-2
xf86-input-evdev 2.11.0-1
xf86-input-void 1.4.2-2
xorg-xinit 1.4.4-1
xorg-xkill 1.0.7-1
yakuake 26.04.1-1
yubikey-personalization-gui 3.1.25-4
zensu 0.3-7
