a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
akonadi-calendar 24.08.3-1
akonadi-contacts 24.08.3-1
akonadi-import-wizard 24.08.3-1
akonadi-mime 24.08.3-1
akonadi-notes 24.08.3-1
akonadi-search 24.08.3-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
android-tools 35.0.2-7
android-udev 20241109-1
aom 3.11.0-1
apache 2.4.62-1
apparmor 4.0.3-1
appimagelauncher 2.2.0-10
appstream 1.0.3-1
appstream-glib 0.8.3-2
appstream-qt 1.0.3-1
appstream-qt5 1.0.3-1
apr 1.7.5-3
apr-util 1.6.3-2
archlinux-appstream-data 20240914-1
archlinux-keyring 20241203-1
arduino-avr-core 1.8.6-1
argon2 20190702-6
aria2 1.37.0-1
aribb24 1.0.3-4
arj 3.10.22-14
ark 24.08.3-1
aspell 0.60.8.1-2
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attica 6.8.0-1
attica5 5.116.0-1
attr 2.5.2-1
audiofile 0.3.6-9
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
avogadro-crystals 1.99.0-1
avogadro-fragments 1.99.0-1
avogadro-molecules 1.99.0-1
avogadrolibs 1.99.0-7
avogadrolibs-qt5 1.99.0-7
avr-binutils 2.43-1
avr-gcc 14.1.0-1
avr-libc 2.2.1-1
avrdude 1:8.0-1
aws-c-auth 0.8.0-1
aws-c-cal 0.8.0-1
aws-c-common 0.10.3-1
aws-c-compression 0.3.0-1
aws-c-event-stream 0.5.0-1
aws-c-http 0.9.2-1
aws-c-io 0.15.3-1
aws-c-mqtt 0.11.0-1
aws-c-s3 0.7.1-1
aws-c-sdkutils 0.2.1-1
aws-checksums 0.2.2-1
aws-crt-cpp 0.29.4-1
aws-sdk-cpp 1.11.449-1
ayatana-ido 0.10.4-1
b43-fwcutter 019-5
babl 0.1.110-1
baloo 6.8.0-1
baloo-widgets 24.08.3-1
base 3-3
base-devel 1-3
bash 5.2.037-1
bat 0.24.0-2
bc 1.07.1-5
bind 9.20.3-2
binutils 2.43+r4+g7999dae6961-1
binwalk 3.1.0-1
bison 3.8.2-8
blas 3.12.0-5
blosc 1.21.6-1
bluedevil 1:6.2.4-1
blueman 2.4.3-1
blueprint-compiler 0.14.0-2
bluez 5.79-1
bluez-libs 5.79-1
bluez-qt 6.8.0-1
bluez-qt5 5.116.0-1
bluez-tools 0.2.0-6
bluez-utils 5.79-1
bolt 0.9.8-1
boost 1.86.0-3
boost-libs 1.86.0-3
botan 3.6.1-1
breeze 6.2.4-1
breeze-gtk 6.2.4-1
breeze-icons 6.8.0-1
breeze5 6.2.4-1
bridge-utils 1.7.1-2
brltty 6.7-1
brotli 1.1.0-2
btrfs-progs 6.12-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.3-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calendarsupport 24.08.3-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.3-1
catimg 2.7.0-1
cblas 3.12.0-5
ccid 1.5.5-1
cdparanoia 10.2-9
cdrtools 3.02a09-6
celt 0.11.3-7
cfitsio 1:4.5.0-1
chafa 1.14.3-1
chromaprint 1.5.1-9
cifs-utils 7.1-1
ckbcomp 1.227-1
clang 18.1.8-4
clinfo 3.0.23.01.25-1
cmake 3.31.1-1
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.7-2
compiler-rt 18.1.8-1
composefs 1.0.4-1
confuse 3.3-4
containerd 2.0.0-2
convertlit 1.8-12
coreutils 9.5-2
cpio 2.15-2
cppdap 1.58.0-2
cpupower 6.12-1
cracklib 2.10.2-1
cronie 1.7.2-1
crypto++ 8.9.0-1
cryptsetup 2.7.5-1
cups 2:2.4.11-1
cups-filters 2.0.1-1
cups-pdf 3.0.1-8
cups-pk-helper 0.2.7-2
curl 8.11.0-3
d-feet 0.3.17+r16+gf9bd211-1
d-spy 47.0-1
darkman 2.0.1-1
dav1d 1.5.0-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-c++ 0.9.0-12
dbus-glib 0.112-4
dconf 0.40.0-3
ddcutil 2.1.4-2
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.28-1
dhclient 4.4.3.P1-3
dhcpcd 10.1.0-1
diffutils 3.10-1
ding-libs 0.6.2-2
discount 3.0.0.d-1
discover 6.2.4-1
djvulibre 3.5.28-6
dleyna 0.8.3-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-1
dnssec-anchors 20190629-4
docbook-xml 4.5-10
docbook-xsl 1.79.2-9
docker 1:27.3.1-1
docker-compose 2.31.0-1
dolphin 24.08.3-1
dolphin-plugins 24.08.3-1
dosfstools 4.2-5
dotconf 1.4.1-1
double-conversion 3.3.0-2
doxygen 1.12.0-3
duktape 2.7.0-7
dvd+rw-tools 7.1-11
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
ecryptfs-utils 111-9
editline 1.17.1-3
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
elfutils 0.192-2
ell 0.71-1
emovix 0.9.0-9
enchant 2.8.2-1
eog 47.0-1
eventviews 24.08.3-1
evince 46.3.1-2
evolution-data-server 3.54.2-1
exempi 2.6.5-1
exfatprogs 1.2.6-1
exiv2 0.28.3-1
expat 2.6.4-1
extra-cmake-modules-git 6.10.0.r3751.bb6d2883-1
f2fs-tools 1.16.0-3
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.36-1
fd 10.2.0-1
feh 3.10.3-1
ffmpeg 2:7.1-3
ffmpeg4.4 4.4.5-1
ffmpegthumbs 24.08.3-2
fftw 3.3.10-7
file 5.46-1
filelight 24.08.3-1
filesystem 2024.11.25-2
findutils 4.10.0-2
firefox 133.0-1
firefox-developer-edition 134.0b5-1
firefox-developer-edition-i18n-en-us 134.0b5-1
firefox-developer-edition-i18n-uk 134.0b5-1
firefox-i18n-en-us 133.0-1
firefox-i18n-uk 133.0-1
flac 1.4.3-2
flashrom 1.4.0-1
flatpak 1:1.15.12-1
flex 2.6.4-5
fluidsynth 2.4.1-1
fmt 11.0.2-1
fnm-bin 1.38.1-1
folks 0.15.9-1
fontconfig 2:2.15.0-2
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-1
foomatic-db-gutenprint-ppds 5.3.4-3
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
frameworkintegration 6.8.0-1
frameworkintegration5 5.116.0-1
freeglut 3.6.0-1
freerdp 2:3.9.0-4
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.2-1
fwupd-efi 1.7-1
fzf 0.56.3-1
game-devices-udev 0.23-1
gavl 1.4.0-8
gawk 5.3.1-1
gc 8.2.8-2
gcab 1.6-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdal 3.10.0-1
gdb 15.2-3
gdb-common 15.2-3
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
gdm 47.0-2
gegl 0.4.50-3
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3
geoip-database 20241116-1
geos 3.13.0-1
gettext 0.22.5-2
ghostscript 10.04.0-1
giflib 5.2.2-1
git 2.47.1-1
git-delta 0.18.2-1
github-cli 2.63.1-1
gjs 2:1.82.1-1
glew 2.2.0-7
glew1.10 1.10.0-4
glib-networking 1:2.80.0-3
glib2 2.82.2-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.0.0-2
glu 9.0.3-2
gmp 6.3.0-2
gnome-app-list 1.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 47.0-1
gnome-bluetooth-3.0 47.1-1
gnome-browser-connector 42.1-6
gnome-calculator 47.0-1
gnome-calendar 47.0-1
gnome-characters 47.0-1
gnome-clocks 47.0-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-console 47.1-1
gnome-contacts 47.0-2
gnome-control-center 47.2-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-font-viewer 47.0-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnome-keybindings 47.2-1
gnome-keyring 1:46.2-1
gnome-logs 45.0-1
gnome-maps 47.2-1
gnome-menus 3.36.0-3
gnome-music 1:47.1-1
gnome-online-accounts 3.52.2-1
gnome-photos 1:44.0-4
gnome-remote-desktop 47.2-1
gnome-session 47.0.1-1
gnome-settings-daemon 47.2-1
gnome-shell 1:47.2-1
gnome-shell-extensions 47.2-1
gnome-software 47.2-1
gnome-system-monitor 47.0-3
gnome-terminal 3.54.2-1
gnome-text-editor 47.2-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-user-docs 47.2-1
gnome-user-share 47.2-1
gnome-weather 47.0-1
gnupg 2.4.7-1
gnustep-base 1.30.0-1
gnutls 3.8.8-1
go 2:1.23.4-1
gobject-introspection 1.82.0-1
gobject-introspection-runtime 1.82.0-1
gom 0.5.3-1
google-chrome 131.0.6778.108-1
