7zip 24.09-3
acpi 1.7-4
acpid 2.0.34-2
alsa-firmware 1.2.4-4
alsa-utils 1.2.14-1
android-tools 35.0.2-17
android-udev 20250525-1
apparmor 4.1.1-3
appimagelauncher 2.2.0-10
ark 25.04.3-1
avahi 1:0.8+r194+g3f79789-3
b43-fwcutter 019-6
base-devel 1-3
bash 5.3.0-1
bat 0.25.0-4
bind 9.20.11-1
binwalk 3.1.0-1
bluedevil 1:6.3.6-1
blueman 2.4.6-1
bluez-utils 5.83-1
breeze-gtk 6.3.6-1
btrfs-progs 6.15-1
bzip2 1.0.8-6
cdparanoia 10.2-9
cmake 4.0.3-1
coreutils 9.7-1
cpupower 6.15-2
cronie 1.7.2-1
cryptsetup 2.8.0-1
d-spy 48.0-2
darkman 2.0.1-1
device-mapper 2.03.33-1
dhclient 4.4.3.P1-4
dhcpcd 10.2.4-1
diffutils 3.12-2
discover 6.3.6-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
docker 1:28.3.2-1
docker-compose 2.38.2-1
dolphin 25.04.3-1
dolphin-plugins 25.04.3-1
dosfstools 4.2-5
dvd+rw-tools 7.1-11
e2fsprogs 1.47.3-1
ecryptfs-utils 111-9
efibootmgr 18-3
emovix 0.9.0-9
eog 47.0-1
evince 48.1-1
f2fs-tools 1.16.0-3
fd 10.2.0-1
ffmpeg 2:7.1.1-5
ffmpegthumbs 25.04.3-1
file 5.46-4
filelight 25.04.3-1
filesystem 2025.05.03-1
findutils 4.10.0-3
firefox 141.0-1
firefox-developer-edition 141.0b9-1
firefox-developer-edition-i18n-en-us 141.0b9-1
firefox-developer-edition-i18n-uk 141.0b9-1
firefox-i18n-en-us 141.0-1
firefox-i18n-uk 141.0-1
fluidsynth 2.4.6-1
fnm-bin 1.38.1-1
fwupd 2.0.12-1
fzf 0.64.0-1
gawk 5.3.2-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gdal 3.11.3-1
gdm 48.0-2
gettext 0.25.1-1
git-delta 0.18.2-4
github-cli 2.76.0-1
glibc 2.41+r48+g5cb575ca9a3d-1
gnome-backgrounds 48.2.1-1
gnome-browser-connector 42.1-7
gnome-calculator 48.1-2
gnome-calendar 48.1-1
gnome-characters 48.0-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-console 48.0.1-1
gnome-contacts 48.0-1
gnome-control-center 48.3-1
gnome-disk-utility 46.1-2
gnome-font-viewer 48.0-1
gnome-keyring 1:48.0-1
gnome-logs 45.0-2
gnome-maps 48.5-1
gnome-menus 3.36.0-3
gnome-music 1:48.0-1
gnome-photos 1:44.0-4
gnome-remote-desktop 48.1-1
gnome-session 48.0-1
gnome-settings-daemon 48.1-1
gnome-shell 1:48.3-1
gnome-shell-extensions 48.3-2
gnome-software 48.3-1
gnome-system-monitor 48.1-1
gnome-terminal 3.56.2-1
gnome-text-editor 48.3-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-user-docs 48.2-1
gnome-user-share 48.1-1
gnome-weather 48.0-2
go 2:1.24.5-1
google-chrome 139.0.7258.66-1
google-chrome-dev 140.0.7327.6-1
gparted 1.7.0-1
grep 3.12-2
grilo-plugins 1:0.3.18-1
grub 2:2.12.r292.g73d1c959-1
grub-theme-manjaro 20.2-16
gst-libav 1.26.4-1
gst-plugins-bad 1.26.4-1
gst-plugins-base 1.26.4-1
gst-plugins-good 1.26.4-1
gst-plugins-ugly 1.26.4-1
gtk3 1:3.24.49-2
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-smb 1.57.2-4
gwenview 25.04.3-1
gzip 1.14-2
hardinfo-git 0.6.alpha.1417.g5996ceb-1
htop 3.4.1-1
hyphen-en 2.8.8-6
illyria-wallpaper 1.4-1
inetutils 2.6-1
intel-media-driver 25.2.5-1
intel-ucode 20250512-1
inxi 3.3.38.1-1
iproute2 6.15.0-1
iputils 20250605-1
jetbrains-toolbox 2.8.0.51430-1
jfsutils 1.1.15-9
jq 1.8.1-1
kaccounts-providers 25.04.3-1
